GPS time   ,date       ,time     ,latitude           ,longitude          ,altitude            ,qx                  ,qy                  ,qz                  ,qw                  ,image,image_url
1417792754,2024-12-09 ,15:18:56 ,28.6645681687358,-81.3781577290421,-1.4268308989703655,0.3651655480574101,0.5812662823275253,-0.4295924725593338,0.5867145086131502,1733757536049.jpg,https://KShervington.github.io/arcgis-images/images/1733757536049.jpg
1417792755,2024-12-09 ,15:18:57 ,28.664568168732444,-81.37815772904085,-1.4268308989703655,0.3648002102581099,0.5809863907469847,-0.4298227642206023,0.5870501598972825,1733757537050.jpg,https://KShervington.github.io/arcgis-images/images/1733757537050.jpg
1417792756,2024-12-09 ,15:18:58 ,28.664568168731552,-81.37815772904051,-1.4268308989703655,0.3649084774328163,0.5809552976704825,-0.4297196755025139,0.5870892766520911,1733757538048.jpg,https://KShervington.github.io/arcgis-images/images/1733757538048.jpg
1417792757,2024-12-09 ,15:18:59 ,28.664575409044936,-81.37814265502536,-1.265915021300316,0.3740303731956416,0.5774198608752801,-0.4361724041923105,0.5800355586092021,1733757539052.jpg,https://KShervington.github.io/arcgis-images/images/1733757539052.jpg
1417792758,2024-12-09 ,15:19:00 ,28.664570812984937,-81.37815391988173,-1.2384810103103518,0.4136335105214888,0.5528190819845124,-0.4694648239490419,0.5503646545299972,1733757540050.jpg,https://KShervington.github.io/arcgis-images/images/1733757540050.jpg
1417792759,2024-12-09 ,15:19:01 ,28.66456346380243,-81.37817193257118,-1.163336055353284,0.4893868502488007,0.4881635909207845,-0.5425382830404759,0.4773353452896033,1733757541060.jpg,https://KShervington.github.io/arcgis-images/images/1733757541060.jpg
1417792760,2024-12-09 ,15:19:02 ,28.664568996252942,-81.37820027441825,-1.14622822124511,0.567955761234446,0.3899565125121794,-0.6206211136923767,0.3744190424981511,1733757542053.jpg,https://KShervington.github.io/arcgis-images/images/1733757542053.jpg
1417792761,2024-12-09 ,15:19:03 ,28.66471454498831,-81.37820752119475,-1.124834711663425,0.6288397668110891,0.2679312293203869,-0.6852358934020769,0.2514463786203429,1733757543062.jpg,https://KShervington.github.io/arcgis-images/images/1733757543062.jpg
1417792762,2024-12-09 ,15:19:04 ,28.664755385532164,-81.37821369554267,-1.1150393253192306,0.6556746581803418,0.1791413833848383,-0.7166981885476278,0.1560214856757497,1733757544057.jpg,https://KShervington.github.io/arcgis-images/images/1733757544057.jpg
1417792763,2024-12-09 ,15:19:05 ,28.664798927093024,-81.37822194146639,-1.305790888145566,0.6585770852957418,0.1429374031902049,-0.7284195063880501,0.1234911422007175,1733757545062.jpg,https://KShervington.github.io/arcgis-images/images/1733757545062.jpg
1417792764,2024-12-09 ,15:19:06 ,28.664855261833228,-81.3782363767488,-1.604567444883287,0.653214935690185,0.143257289084635,-0.7332698088954608,0.1228943051870515,1733757546063.jpg,https://KShervington.github.io/arcgis-images/images/1733757546063.jpg
1417792765,2024-12-09 ,15:19:07 ,28.664903460719493,-81.3782771328497,-2.0871095936745405,0.6488671037930763,0.1707862726966904,-0.7259004486350531,0.1512350956208171,1733757547058.jpg,https://KShervington.github.io/arcgis-images/images/1733757547058.jpg
1417792766,2024-12-09 ,15:19:08 ,28.66495460347,-81.37830202563633,-2.4243354499340057,0.6433803163113733,0.2068176474267094,-0.7095165172021025,0.1996862847235265,1733757548060.jpg,https://KShervington.github.io/arcgis-images/images/1733757548060.jpg
1417792767,2024-12-09 ,15:19:09 ,28.66499724231307,-81.37833337998441,-2.677856626920402,0.6263270754851106,0.2645261870850144,-0.6875431855143438,0.2549991307898477,1733757549058.jpg,https://KShervington.github.io/arcgis-images/images/1733757549058.jpg
1417792768,2024-12-09 ,15:19:10 ,28.66502951848856,-81.37837433680406,-2.8747153859585524,0.59995873749563,0.3165389900478074,-0.6680194560042289,0.3059454008644027,1733757550070.jpg,https://KShervington.github.io/arcgis-images/images/1733757550070.jpg
1417792769,2024-12-09 ,15:19:11 ,28.665051590222724,-81.37841006660564,-3.002251745201648,0.5821100143317633,0.3567424076758189,-0.6468960964313578,0.3397180320510128,1733757551076.jpg,https://KShervington.github.io/arcgis-images/images/1733757551076.jpg
1417792770,2024-12-09 ,15:19:12 ,28.66508269192974,-81.37843163535953,-3.0689892172813416,0.5563069472101378,0.4040828871166813,-0.6199262267867107,0.3780622878792384,1733757552084.jpg,https://KShervington.github.io/arcgis-images/images/1733757552084.jpg
1417792771,2024-12-09 ,15:19:13 ,28.66510777387026,-81.37846071364157,-3.0353927183896303,0.5098901004472891,0.4719403476064233,-0.567223702904205,0.4422010493205381,1733757553083.jpg,https://KShervington.github.io/arcgis-images/images/1733757553083.jpg
1417792772,2024-12-09 ,15:19:14 ,28.66512738661924,-81.37848345127995,-2.854750561527908,0.4425321517396255,0.5411662621718967,-0.5004375432647408,0.5107511298866727,1733757554085.jpg,https://KShervington.github.io/arcgis-images/images/1733757554085.jpg
1417792773,2024-12-09 ,15:19:15 ,28.66513224422251,-81.37850592960538,-2.815537340939045,0.3739885230732828,0.5926968732417188,-0.4222081683342948,0.574963685035072,1733757555102.jpg,https://KShervington.github.io/arcgis-images/images/1733757555102.jpg
1417792774,2024-12-09 ,15:19:16 ,28.66500467073692,-81.37861069725533,-2.785605227574706,0.3074428990210466,0.6314722976039533,-0.3518695574925639,0.6187967492180841,1733757556111.jpg,https://KShervington.github.io/arcgis-images/images/1733757556111.jpg
1417792775,2024-12-09 ,15:19:17 ,28.66497903250617,-81.37864794519348,-2.659716374240816,0.2702913959096032,0.6511316339402405,-0.3112726426604503,0.6372435808822409,1733757557113.jpg,https://KShervington.github.io/arcgis-images/images/1733757557113.jpg
1417792776,2024-12-09 ,15:19:18 ,28.66495503539668,-81.3786828088335,-2.5261306455358863,0.2682354692698155,0.6508857314538954,-0.3042191101693336,0.6417541090483123,1733757558140.jpg,https://KShervington.github.io/arcgis-images/images/1733757558140.jpg
1417792777,2024-12-09 ,15:19:19 ,28.66493662725672,-81.37873522132439,-2.4867681730538607,0.2492843472888565,0.6592187471418817,-0.2796551108587304,0.6519824304738997,1733757559125.jpg,https://KShervington.github.io/arcgis-images/images/1733757559125.jpg
1417792778,2024-12-09 ,15:19:20 ,28.66491820484016,-81.37877503239851,-2.363919723778963,0.2233635791927992,0.6686164320678532,-0.2550980997204872,0.6618049482890579,1733757560146.jpg,https://KShervington.github.io/arcgis-images/images/1733757560146.jpg
1417792779,2024-12-09 ,15:19:21 ,28.664921833196697,-81.37882582900036,-2.3132787123322487,0.245724134870103,0.6566376341409015,-0.2799945512662034,0.6557816472488416,1733757561142.jpg,https://KShervington.github.io/arcgis-images/images/1733757561142.jpg
1417792780,2024-12-09 ,15:19:22 ,28.66491247163896,-81.37886522694762,-2.370230854488909,0.3026482205919931,0.6297356327881358,-0.3436976943806614,0.6274623583884816,1733757562153.jpg,https://KShervington.github.io/arcgis-images/images/1733757562153.jpg
1417792781,2024-12-09 ,15:19:23 ,28.664909259161227,-81.37891233526231,-2.379187590442598,0.3505177870440074,0.603312138116245,-0.3966926563430686,0.5964786816158196,1733757563157.jpg,https://KShervington.github.io/arcgis-images/images/1733757563157.jpg
